State,Poverty Cases,Total Population
Alabama,760461,4874747
Alaska,99872,739795
Arizona,1031392,7016270
Arkansas,462659,3004279
California,5218838,39536653
Colorado,454179,5607154
Connecticut,373171,3588184
Delaware,100042,961939
Florida,2790925,20984400
Georgia,1491401,10429379
Hawaii,139899,1427538
Idaho,195732,1716943
Illinois,1472233,12802023
Indiana,773351,6666818
Iowa,295697,3145711
Kansas,375793,2913123
Kentucky,659220,4454189
Louisiana,974341,4684333
Maine,164317,1335907
Maryland,453913,6052177
Massachussetts,692842,6859819
Michigan,1185515,9962311
Minnesota,501895,5576606
Mississippi,587868,2984100
Missouri,733624,6113532
Montana,112403,1050493
Nebraska,192008,1920076
Nevada,356767,2998039
New Hampshire,87282,1342795
New Jersey,810508,9005644
New Mexico,380029,2088070
New York,2501024,19849399
North Carolina,1438279,10273419
North Dakota,84604,755393
Ohio,1538936,11658609
Oklahoma,534598,3930864
Orgeon,455705,4142776
Pennsylvania,1434220,12805537
Rhode Island,125037,1059639
South Carolina,743607,5024369
South Dakota,107863,869866
Tennessee,886510,6715984
Texas,3849425,28304596
Utah,266758,3101833
Vermont,61742,623657
Virginia,914762,8470020
Washington,770197,7405743
West Virginia,321407,1815857
Wisconsin,585344,5795483
Wyoming,67201,579315