AveragePrice,Total Volume,4046,4225,4770,type,region
1.33,64236.62,1036.74,54454.85,48.16,conventional,Albany
0.99,386100.49,292097.36,27350.92,297.9,conventional,Atlanta
1.17,596819.4,40450.49,394104.02,17353.79,conventional,BaltimoreWashington
0.97,62909.69,30482.25,2971.94,5894.4,conventional,Boise
1.13,450816.39,3886.27,346964.7,13952.56,conventional,Boston
1.35,96233.08,1367.81,39542.83,85.76,conventional,BuffaloRochester
0.96,156698.24,33070.27,62956.24,23041.69,conventional,Charlotte
0.93,661137.13,42799,445218.79,78378.25,conventional,Chicago
0.87,162993.77,2633.37,100444.22,9546.88,conventional,CincinnatiDayton
0.99,107565.04,41808.54,27120.67,15564.05,conventional,Columbus
0.8,1020390.64,494425.64,276556.76,84912.97,conventional,DallasFtWorth
0.98,625475.1,93034.2,246747.13,19103.69,conventional,Denver
1.08,255499.7,83097.26,50545.78,59789.18,conventional,Detroit
1.13,147713.85,2992.62,101109.84,5754.75,conventional,GrandRapids
1.01,2580602.96,336673.7,1411808.83,254629.93,conventional,GreatLakes
1.16,173645.55,22694.58,98629.2,149.11,conventional,HarrisburgScranton
1.27,243556.57,4427.27,194438.24,169.66,conventional,HartfordSpringfield
0.78,944506.54,389773.22,288003.62,126150.81,conventional,Houston
1.04,123096.09,4647.28,69384.73,11206.4,conventional,Indianapolis
0.99,132982.84,91470.46,7688.79,514.7,conventional,Jacksonville
0.83,292707.14,135799.94,93317.46,4977.64,conventional,LasVegas
1.25,308546.88,9778.07,208945.03,530.89,conventional,Philadelphia
0.49,1137707.43,738314.8,286858.37,11642.46,conventional,PhoenixTucson
1.25,73109.9,1241.48,45856.11,951.32,conventional,Pittsburgh
0.8,2326942.14,976982.58,455203.42,86202.11,conventional,LosAngeles
1.04,61654.94,1377.63,37760.21,3204.01,conventional,Louisville
0.99,545064.74,387953.32,44652.25,54.44,conventional,MiamiFtLauderdale
0.96,123669.89,79508.7,8706.29,4748.08,conventional,Nashville
0.91,187664.29,105570.93,18655.62,284.7,conventional,NewOrleansMobile
1.17,1129876.05,13711.19,872603.6,894.58,conventional,NewYork
0.99,305773.54,211102.9,20765.29,124.04,conventional,Orlando
1.1,1306923.23,571602.6,404837.9,25188.57,conventional,Plains
1.01,417190.47,87748.64,131201.91,16182.87,conventional,Portland
0.96,208425.96,47444.55,86212.38,21669.44,conventional,RaleighGreensboro
0.98,161577.6,46837.66,67974.89,5986.26,conventional,RichmondNorfolk
0.96,98584.92,33255.5,31680.16,152.86,conventional,Roanoke
0.98,403741.62,98482.89,249362.94,13805.3,conventional,Sacramento
0.92,439968.4,141447.28,130341.75,20174.55,conventional,SanDiego
1.05,692206.4,181704.67,422617.8,28184.73,conventional,SanFrancisco
1.09,450185.94,101442.85,178459.6,7000.66,conventional,Seattle
1.05,67099.38,20577.16,21592.44,2889.97,conventional,Spokane
1.1,152121.37,50481.76,25206.85,23.89,conventional,StLouis
1.36,42344.22,828.65,23560.51,14.41,conventional,Syracuse
0.97,376187.98,246326.83,35652.12,56.54,conventional,Tampa
1.83,989.55,8.16,88.59,0,organic,Albany
1.84,3195,1366.31,1652.5,0,organic,Atlanta
1.51,14201.42,363.5,5263.2,318.34,organic,BaltimoreWashington
0.91,2272.26,15.53,508.49,0,organic,Boise
1.48,7986.08,9.65,775.99,39.82,organic,Boston
1.47,5043.15,0,166.37,0,organic,BuffaloRochester
1.9,2948.39,389.52,1416.49,682.38,organic,Charlotte
1.58,20995.37,1064.71,19320.66,0,organic,Chicago
1.43,7088.36,249.94,5919.28,0,organic,CincinnatiDayton
1.53,2970.79,289.7,1781.31,0,organic,Columbus
1.33,10860.07,5921.12,421.38,0,organic,DallasFtWorth
1.43,23728.62,9299.54,2853.98,12.14,organic,Denver
1.61,6834.42,1276.73,3370.14,0,organic,Detroit
1.67,2010.73,822.95,941.11,0,organic,GrandRapids
1.49,66775.85,6557.08,43451.67,4.66,organic,GreatLakes
1.45,5828.38,79.19,186.22,16.23,organic,HarrisburgScranton
2.32,5526.5,88.59,3733.01,6.81,organic,HartfordSpringfield
1.31,10598.3,4797.41,57.91,0,organic,Houston
1.49,1726.25,207.04,1052.49,0,organic,Indianapolis
1.82,1754.98,1154.87,45.01,28.43,organic,Jacksonville
1.94,4595.5,1188.98,2391.02,0,organic,LasVegas
1.21,52474.67,8914.66,15290.56,0,organic,LosAngeles
1.82,862.59,9.98,690.02,0,organic,Louisville
1.57,1155.71,120.88,18.16,0,organic,MiamiFtLauderdale
1.62,3895.76,501.13,2284.69,0,organic,Nashville
1.55,2215.74,383.17,5.85,0,organic,NewOrleansMobile
1.9,21565.58,1752.06,6546.95,1319.02,organic,NewYork
1.67,3110.45,1617.61,49.42,0,organic,Orlando
1.5,8780.15,340.1,2365.13,3.71,organic,Philadelphia
1.72,7422.47,5038.15,906.49,0,organic,PhoenixTucson
1.5,749.03,199.16,29.63,0,organic,Pittsburgh
1.6,32041.32,3224.07,13453.09,1672.35,organic,Plains
1.24,27118.17,1189.96,10909.14,10.05,organic,Portland
1.74,3905.44,256.26,1936.8,437.05,organic,RaleighGreensboro
1.53,4116.38,59.01,1910.71,233.68,organic,RichmondNorfolk
1.41,4367.47,33.27,2525.8,0,organic,Roanoke
1.72,4946.4,1142.95,3722.48,0,organic,Sacramento
1.62,8704.72,1834.72,5181.54,0,organic,SanDiego
1.88,14081.58,792.47,13036.76,0,organic,SanFrancisco
1.51,21378.66,610.22,13103.85,4.01,organic,Seattle
1.59,1723.36,41.54,1206.17,0,organic,Spokane
1.07,7851.73,1347.91,935.8,12.36,organic,StLouis
1.54,1652.19,0,73.22,0,organic,Syracuse
1.63,2161.84,874.75,17.54,0,organic,Tampa